time,raw_Fx,raw_Fy,raw_Fz,raw_Mx,raw_My,raw_Mz,filtered_Fx,filtered_Fy,filtered_Fz,filtered_Mx,filtered_My,filtered_Mz,offset_Fx,offset_Fy,offset_Fz,offset_Mx,offset_My,offset_Mz,target_Fx,target_Fy,target_Fz,target_Mx,target_My,target_Mz,velocity_Fx,velocity_Fy,velocity_Fz,velocity_Mx,velocity_My,velocity_Mz,ref_Fx,ref_Fy,ref_Fz,ref_Mx,ref_My,ref_Mz
1.081831455230712891e-01,-1.144555213901751189e-01,6.013405997410115056e-02,4.223698854551243831e-01,-7.763978301188590066e-03,-5.293927010228673081e-04,-4.357270811122913520e-03,-1.964349154661940156e-01,7.874536944162766061e-02,1.932813930243593159e-01,-3.573030807618897582e-03,1.913975248057571497e-03,-4.825240895241091066e-03,-5.696911035733714278e-06,2.280533750511772487e-06,3.707501341500951133e-06,-1.919951171661028108e-08,2.501702903380806039e-08,-3.794278833869385605e-08,3.000329936000327713e-01,-2.379630014844324459e-01,2.305998255727500501e-01,-1.444132078123197896e-04,3.141426387954727950e+00,3.734345416629799208e-05,-9.451948007314849194e-05,3.586843930027557557e-05,9.040741266263128332e-05,-2.998514661363327578e-07,1.945096667415668025e-07,-4.533300343152614421e-07,3.000386905110685176e-01,-2.379652820181829553e-01,2.305961180714085623e-01,-1.443940083006031792e-04,3.141426362937699057e+00,3.738139695463668909e-05
1.182432174682617188e-01,-4.736612869134279591e-02,5.534889891218006813e-02,3.278628994551588960e-01,-6.061734275399500126e-03,1.505288430815758744e-03,-3.040072906596562145e-03,-1.666211581112237716e-01,7.406607533573814073e-02,2.201976943105192208e-01,-4.070771501175018958e-03,1.832237884609209250e-03,-4.468207297512185108e-03,-6.619731856119965125e-06,2.640210500054828988e-06,4.731255545694885410e-06,-2.277840289909731924e-08,2.671746953980358306e-08,-4.217292676347135310e-08,3.000416602570881164e-01,-2.379519376944587983e-01,2.305408706186770351e-01,-1.443437609903366198e-04,3.141426406666750104e+00,3.732031878932580383e-05,-9.031468996237152738e-05,3.604856261762213906e-05,1.135518660438696183e-04,-3.565415687295653712e-07,1.690142392480994449e-07,-4.206806609852404455e-07,3.000482799889442331e-01,-2.379545779049588583e-01,2.305361393631313316e-01,-1.443209825874375220e-04,3.141426379949280534e+00,3.736249171608927236e-05
1.283040046691894531e-01,-2.281036549895557319e-01,4.675525141505186555e-02,1.796485632898560114e-01,-3.292135618445280083e-03,7.479858765438654879e-05,-6.028415229650870878e-03,-1.789176574868901748e-01,6.860391055160089402e-02,2.120878681063866067e-01,-3.915044324629071357e-03,1.480750025218244888e-03,-4.780248883939922956e-03,-7.518324704412430841e-06,2.996406732955487978e-06,5.956665985399145465e-06,-2.641890289146187184e-08,2.808787793162768639e-08,-4.647361117826511960e-08,3.000503518239127643e-01,-2.379408766239557438e-01,2.304821130564450316e-01,-1.442743705851467790e-04,3.141426425049949511e+00,3.729711152223003464e-05,-8.944753140822082568e-05,3.523959598222311244e-05,1.309282887196122278e-04,-3.622935411870100293e-07,1.361191570463805495e-07,-4.279973350198756167e-07,3.000578701486171784e-01,-2.379438730306887018e-01,2.304761563904596244e-01,-1.442479516822553162e-04,3.141426396962071710e+00,3.734358513340829737e-05
1.383647918701171875e-01,-2.084079898981394674e-01,8.217031282996112296e-02,1.083010432111736060e-01,-3.325000240218153576e-04,6.579864127493065089e-03,-6.303033978425381934e-03,-1.848157239691400333e-01,7.131719100727293426e-02,1.913305031273440093e-01,-3.198535464507620482e-03,2.500572845673208928e-03,-5.084805902837014752e-03,-8.414567786017059783e-06,3.348168908595959947e-06,7.319523819740090884e-06,-2.957788840842125058e-08,3.001770500924298213e-08,-5.097261537271586015e-08,3.000590457405040712e-01,-2.379298199875099218e-01,2.304234929416076882e-01,-1.442044986654815106e-04,3.141426443992568096e+00,3.727370593535459962e-05,-8.976433558373478122e-05,3.511530796121837384e-05,1.412742889477962890e-04,-3.139783573863098422e-07,1.924474643782305635e-07,-4.478242487990339195e-07,3.000674603082900682e-01,-2.379331681564185175e-01,2.304161734177879450e-01,-1.441749207770730832e-04,3.141426413974862886e+00,3.732467855072731561e-05
1.484258174896240234e-01,-3.037169885716630158e-01,4.402053128020888551e-02,2.190163091276773333e-01,-2.890913654554175781e-03,-2.324736665102744299e-04,-4.894260110231730965e-03,-2.085959768896446243e-01,6.585785906186011895e-02,1.968676643274107074e-01,-3.137011102516931889e-03,1.953963543236512598e-03,-5.046696744315958515e-03,-9.333951242892211849e-06,3.693948598792554974e-06,8.780683181742757613e-06,-3.251390235830004308e-08,3.175896457511123254e-08,-5.548244831145419071e-08,3.000677167439858573e-01,-2.379187690798675314e-01,2.303649697068331503e-01,-1.441344020435769778e-04,3.141426462747022086e+00,3.725028907169036281e-05,-9.382111167978978707e-05,3.410350048926366194e-05,1.506204063687793565e-04,-2.919869776143322462e-07,1.731218120309004895e-07,-4.487614243844177838e-07,3.000770506952287753e-01,-2.379224630284663133e-01,2.303561890236514031e-01,-1.441018881412186854e-04,3.141426430988057295e+00,3.730577152000181894e-05
1.584851741790771484e-01,-1.697337295541809510e-01,8.094830776981003229e-02,1.441096495657181731e-01,-4.224241820794587786e-03,3.780070515018997025e-03,-5.457453770855704052e-03,-2.008235274225518840e-01,6.887594880345010440e-02,1.863160613750722283e-01,-3.354457246172462982e-03,2.319184937593009484e-03,-5.128848149623907969e-03,-1.027951352752376203e-05,4.033895883305794172e-06,1.031596879791012694e-05,-3.550168890170314267e-08,3.366709815095576121e-08,-6.002004546429765100e-08,3.000763599777797608e-01,-2.379077257804050050e-01,2.303065305485665626e-01,-1.440643693089713249e-04,3.141426481665527515e+00,3.722684758012367287e-05,-9.518276857826874794e-05,3.389438902107365983e-05,1.562235427400131813e-04,-2.973418273096062630e-07,1.899956967497544808e-07,-4.515377890899406106e-07,3.000866394913072610e-01,-2.379117596762883036e-01,2.302962145797686488e-01,-1.440288676200696311e-04,3.141426447998429516e+00,3.728686762558796724e-05
1.685395240783691406e-01,-2.733447905218681639e-01,1.032601129336105927e-01,3.172768286259303738e-01,-4.943846639888832897e-03,9.094794755560228761e-04,-6.192932175068196869e-03,-2.153277800424151511e-01,7.575278162948220761e-02,2.125082148252438463e-01,-3.672335124915737138e-03,2.037243845185612249e-03,-5.341664954712765749e-03,-1.124864057506720072e-05,4.378021845313229177e-06,1.192584127494309223e-05,-3.869884495294113399e-08,3.543129809446618701e-08,-6.467824532047719915e-08,3.000849748742301371e-01,-2.378966836295876297e-01,2.302481958279221641e-01,-1.439945822879895446e-04,3.141426500431633073e+00,3.720329489478857026e-05,-9.840710923933775804e-05,3.485939308442843713e-05,1.654164150107792042e-04,-3.182911683448402700e-07,1.754399517782692730e-07,-4.636075034038512820e-07,3.000962235148051938e-01,-2.379010616514329324e-01,2.302362699866472295e-01,-1.439558834430366074e-04,3.141426465000335178e+00,3.726797314010905042e-05
1.786141395568847656e-01,-2.140908717052451005e-01,1.494212154189602515e-01,3.269671469522135165e-01,-5.749040595490395242e-03,1.674390644861190915e-03,-6.082710316379356594e-03,-2.150803983749811632e-01,9.048646838737782472e-02,2.354000012506377859e-01,-4.087676219030668759e-03,1.964673205120728242e-03,-5.489874027046084612e-03,-1.224368783976413787e-05,4.742911169585639542e-06,1.363970420411921951e-05,-4.222077288080894003e-08,3.708698748280416657e-08,-6.944425956176118037e-08,3.000935831680512922e-01,-2.378855991524354563e-01,2.301898442732198125e-01,-1.439249729317480244e-04,3.141426519123497574e+00,3.717959631128411478e-05,-1.004468555588380700e-04,3.790532600226988793e-05,1.769418439136577449e-04,-3.506929378122040498e-07,1.646706565251686880e-07,-4.743256161597356091e-07,3.001058268558910447e-01,-2.378903420636050425e-01,2.301762045690156910e-01,-1.438827521588672154e-04,3.141426482036509871e+00,3.724904057084587916e-05
1.886885166168212891e-01,-1.824660809556984120e-01,1.505061376507964011e-01,6.411261647179916645e-02,2.995394521414642222e-04,2.753087691645995667e-03,-6.415831960822825260e-03,-2.085575348911246352e-01,1.024904022400615483e-01,2.011425242948700898e-01,-3.210233084796242347e-03,2.122356102425781987e-03,-5.675065613801433262e-03,-1.324936253884199818e-05,5.143296845220755257e-06,1.542512107942205094e-05,-4.524378620191507468e-08,3.880062801257389146e-08,-7.433745925605253764e-08,3.001021806071722531e-01,-2.378744794326139722e-01,2.301315656939283971e-01,-1.438548663915719381e-04,3.141426537872909375e+00,3.715577099037116823e-05,-1.006567402880828078e-04,4.189400797546692152e-05,1.800090269038877181e-04,-3.004338949668270052e-07,1.705609074823465328e-07,-4.869958079180376976e-07,3.001154299697110783e-01,-2.378796227294592003e-01,2.301161405728489873e-01,-1.438096226053700154e-04,3.141426499072281331e+00,3.723010844962722281e-05
1.987552642822265625e-01,-3.080869481171640833e-01,2.711540437733682765e-02,1.954552062348685060e-01,-8.207635530206747881e-04,5.398369700247570950e-03,-3.110640434331446262e-03,-2.284634175363325359e-01,8.741540266751660071e-02,2.000050606828698008e-01,-2.732339178441128922e-03,2.777558821990140300e-03,-5.162180577907436035e-03,-1.427383947118227573e-05,5.563103045683965631e-06,1.723643083047967907e-05,-4.776136689389178021e-08,4.095821681118820493e-08,-7.889928459603503085e-08,3.001107519715563443e-01,-2.378633484100926010e-01,2.300733584943871479e-01,-1.437843098002768670e-04,3.141426557053368374e+00,3.713229138123719567e-05,-1.039944703140700723e-04,4.204953387536685810e-05,1.821509459216385531e-04,-2.501401673488781659e-07,2.150229085836513507e-07,-4.536804795398183462e-07,3.001250258110275126e-01,-2.378689115131382981e-01,2.300561220635566617e-01,-1.437365484333829842e-04,3.141426516095151555e+00,3.721119066583323300e-05
